Method,Retrospective,Dataset,Accuracy,Recall,Precision,F-Score
K-Nearest Neighbors,130,Test,0.7976424361493124,0.8344370860927153,0.8262295081967214,0.8303130148270181
Neural Network,130,Train,0.8726020659124447,0.9242685025817556,0.8626506024096385,0.8923971749065226
Neural Network,130,Test,0.8153241650294696,0.8841059602649006,0.8190184049079755,0.8503184713375797
Naive Bayes,140,Train,0.5970443349753695,0.8844133099824869,0.5955188679245284,0.711768851303735
Naive Bayes,140,Test,0.6003937007874016,0.8725490196078431,0.6194895591647331,0.7245590230664858
Decision Tree,140,Train,0.8536945812807881,0.9798598949211909,0.8033022254127782,0.8828402366863906
Decision Tree,140,Test,0.7677165354330708,0.8856209150326797,0.7655367231638418,0.8212121212121212
Logistic Regression,140,Train,0.6285714285714286,0.8852889667250438,0.6187270501835985,0.728386167146974
Logistic Regression,140,Test,0.6023622047244095,0.8758169934640523,0.6203703703703703,0.7262872628726287
Random Forest,140,Train,0.8788177339901477,0.989492119089317,0.8284457478005866,0.9018355945730248
Random Forest,140,Test,0.8248031496062992,0.9477124183006536,0.7988980716253443,0.866965620328849
K-Nearest Neighbors,140,Train,0.9133004926108375,0.9334500875656743,0.9142367066895368,0.9237435008665511
K-Nearest Neighbors,140,Test,0.7913385826771654,0.8235294117647058,0.8289473684210527,0.8262295081967214
Neural Network,140,Train,0.8679802955665025,0.9150612959719789,0.859375,0.8863443596268024
Neural Network,140,Test,0.7755905511811023,0.8333333333333334,0.8018867924528302,0.8173076923076923
Naive Bayes,150,Train,0.6101778656126482,0.8921232876712328,0.6111436950146627,0.7253741733379743
Naive Bayes,150,Test,0.6134122287968442,0.8835616438356164,0.6142857142857143,0.7247191011235955
Decision Tree,150,Train,0.9412055335968379,0.9683219178082192,0.93239901071723,0.9500209995800084
Decision Tree,150,Test,0.873767258382643,0.8801369863013698,0.8986013986013986,0.889273356401384
Logistic Regression,150,Train,0.633399209486166,0.9220890410958904,0.6232638888888888,0.7437845303867403
Logistic Regression,150,Test,0.6390532544378699,0.934931506849315,0.6247139588100686,0.7489711934156379
Random Forest,150,Train,0.9392292490118577,0.9922945205479452,0.9104477611940298,0.9496108152396558
Random Forest,150,Test,0.9013806706114399,0.952054794520548,0.8853503184713376,0.9174917491749175
K-Nearest Neighbors,150,Train,0.9204545454545454,0.9366438356164384,0.9263336155800169,0.9314601958280119
K-Nearest Neighbors,150,Test,0.7909270216962525,0.8424657534246576,0.803921568627451,0.822742474916388
Neural Network,150,Train,0.8898221343873518,0.9143835616438356,0.8967254408060453,0.9054684188215345
Neural Network,150,Test,0.8284023668639053,0.8527397260273972,0.8498293515358362,0.8512820512820513
Naive Bayes,160,Train,0.6162617749132375,0.8816120906801007,0.6238859180035651,0.7306889352818372
Naive Bayes,160,Test,0.596039603960396,0.8566666666666667,0.6148325358851675,0.7158774373259053
Decision Tree,160,Train,0.9251363411006446,0.9848866498740554,0.8981623277182236,0.9395274329195034
Decision Tree,160,Test,0.8811881188118812,0.95,0.8636363636363636,0.9047619047619048
Logistic Regression,160,Train,0.652949925632127,0.9496221662468514,0.6386222473178995,0.763673193787981
Logistic Regression,160,Test,0.6316831683168317,0.94,0.6266666666666667,0.752
Random Forest,160,Train,0.9335647000495786,0.9916036943744753,0.9049808429118774,0.9463141025641025
Random Forest,160,Test,0.8712871287128713,0.9533333333333334,0.8486646884272997,0.8979591836734694
K-Nearest Neighbors,160,Train,0.9295984134853743,0.9395465994962217,0.9411269974768713,0.9403361344537815
K-Nearest Neighbors,160,Test,0.8158415841584158,0.88,0.822429906542056,0.8502415458937198
Neural Network,160,Train,0.8780366881507189,0.9151973131821999,0.8825910931174089,0.8985985160758451
Neural Network,160,Test,0.8277227722772277,0.89,0.8317757009345794,0.8599033816425121
Naive Bayes,170,Train,0.6159203980099502,0.870539419087137,0.63003003003003,0.7310104529616724
Naive Bayes,170,Test,0.6063618290258449,0.8682432432432432,0.6177884615384616,0.7219101123595506
Decision Tree,170,Train,0.900497512437811,0.9759336099585062,0.8730512249443207,0.9216300940438872
Decision Tree,170,Test,0.8946322067594433,0.9628378378378378,0.8715596330275229,0.9149277688603531
Logistic Regression,170,Train,0.6417910447761194,0.9618257261410789,0.6322967812329514,0.7630019749835418
Logistic Regression,170,Test,0.6341948310139165,0.9628378378378378,0.6222707423580786,0.7559681697612732
Random Forest,170,Train,0.9139303482587064,0.9908713692946058,0.8805309734513275,0.932448262397501
Random Forest,170,Test,0.8926441351888668,0.9695945945945946,0.8644578313253012,0.9140127388535032
K-Nearest Neighbors,170,Train,0.9273631840796019,0.941908713692946,0.9372419488026424,0.9395695364238411
K-Nearest Neighbors,170,Test,0.8170974155069582,0.8547297297297297,0.8377483443708609,0.8461538461538461
Neural Network,170,Train,0.882587064676617,0.9278008298755187,0.8823993685872139,0.9045307443365695
Neural Network,170,Test,0.8349900596421471,0.8716216216216216,0.8514851485148515,0.8614357262103506
Naive Bayes,180,Train,0.633648581383773,0.8711256117455138,0.6488456865127582,0.7437325905292479
Naive Bayes,180,Test,0.6341948310139165,0.867741935483871,0.6529126213592233,0.7451523545706371
Decision Tree,180,Train,0.9591836734693877,0.9877650897226754,0.9475743348982786,0.9672523961661342
Decision Tree,180,Test,0.9145129224652088,0.9387096774193548,0.9238095238095239,0.9312
Logistic Regression,180,Train,0.655550024888004,0.9584013050570962,0.6470264317180616,0.7725180802103879
Logistic Regression,180,Test,0.6560636182902585,0.9451612903225807,0.6525612472160356,0.7720685111989459
Random Forest,180,Train,0.9273270283723245,0.9755301794453507,0.9115853658536586,0.9424743892829
Random Forest,180,Test,0.882703777335984,0.9483870967741935,0.8724035608308606,0.9088098918083463
K-Nearest Neighbors,180,Train,0.9263315082130413,0.9469820554649266,0.9332797427652733,0.940080971659919
K-Nearest Neighbors,180,Test,0.7952286282306164,0.8419354838709677,0.8285714285714286,0.8352
Neural Network,180,Train,0.8810353409656545,0.9192495921696574,0.8895027624309392,0.9041315683914962
Neural Network,180,Test,0.8151093439363817,0.8741935483870967,0.8338461538461538,0.8535433070866142
Naive Bayes,190,Train,0.6318681318681318,0.8634868421052632,0.6477483035163479,0.7402185407120198
Naive Bayes,190,Test,0.6227544910179641,0.8493589743589743,0.6511056511056511,0.7371349095966621
Decision Tree,190,Train,0.9835164835164835,0.9851973684210527,0.9876339653751031,0.9864141622066694
Decision Tree,190,Test,0.908183632734531,0.9358974358974359,0.9182389937106918,0.926984126984127
Logistic Regression,190,Train,0.6693306693306693,0.9243421052631579,0.6635182998819362,0.7725085910652921
Logistic Regression,190,Test,0.6646706586826348,0.9198717948717948,0.6674418604651163,0.7735849056603774
Random Forest,190,Train,0.9315684315684316,0.984375,0.9102661596958175,0.9458711971552746
Random Forest,190,Test,0.8802395209580839,0.9519230769230769,0.868421052631579,0.908256880733945
K-Nearest Neighbors,190,Train,0.929070929070929,0.9498355263157895,0.9344660194174758,0.9420880913539967
K-Nearest Neighbors,190,Test,0.8043912175648703,0.8493589743589743,0.8386075949367089,0.8439490445859873
